#,Project name,Client,Type,Domain,Industry,Problem statement,Solution provided,Outcome,Key Features,Technology used,Team size,Duration,Status,SPOC,Migration
,IRIS,IIC,Project,,Insurance (Public Sector),"Earlier Idaho Industrial commission were using the commercial off-the-shelf software which involved so much of manual intervention. Apart from this there were so much of paperwork which plays crucial role in the completion of running process. Overall, the legacy s/w were having lot of dependence on the paperwork across the department at IIC. ​

​"," Automating the compliances, benefits processing and giving the flexibility to the claim holders to submit their claims via portal. Targeting to GoLive by early 2024. 30-40 users from IIC are going to use the system. However, n number of claim users can use the system via portal. ​

Compliance app is live. It is being used by IIC to check compliance related to workers compensation from employers' side as well as from employee-side.​

​

Access: Internal for IIC (Idaho Industrial Commission) as well as web portal for external users seeking benefits​

Target User Group: State of Idaho, US​

Team Structure:  1 Product Owner, 2 Project Managers (Onshore/Offshore), 20 Software Engineer (Development) ;  8 Software Engineer (QA/SDET) ; 3 Business Analysts ","IRIS is a multi-year project, executed by the Idaho Industrial Commission (IIC) in tandem with In Time Tec, to configure commercial off-the-shelf (COTS) software which fulfils the Industrial Commission’s business requirements. The goal of IRIS is to replace paper-dependent administrative processes with digital solutions that emphasize customer service, optimize data management, and foster workflow efficiency. ​

​

The project will implement Microsoft Dynamics 365 to replace all existing business applications. It will also introduce digital document storage solutions and Power BI, a robust reporting and analytics tool, to Commission operations. ",,"Microsoft dynamics 365, Power BI",35,3 Years,Active,Sudhir,
,GetorAid,Idaho Health & Welfare Dept.,Project,,Healthcare (Public Sector),Idaho Health and Welfare Department do track the cases wherein the fund request or maintainability of the clients/ contacts and this brings in the automation of the same for the Idaho Heatlh and Welfare Dept.,"Automating customer service for Dept. of Health of Idaho. Targeting to GoLive by early 2023. ​

​

Access: Internal as well as External​

Target User Group: US​

Team Structure:  1 Product Owner/BA, 2 Project Managers(Onshore/Offshore, 1 Technical Architect, 3 Software Engineer (Development) ;  1 Software Engineer (QA)",The solution will help client to have paperless and easy step to track the fund request or maintainability of the clients/ contacts. ,,Microsoft dynamics 365,8,3 Months,Active,Sudhir,Migration from manual to digital Data storing
,Tugboat-Custom Solutions on Power App Platform ​,Tugboat,Case Study,,Education,"The Service Provider will provide software solution development services, delivering a software solution built on the Microsoft Power Platform, that will deliver the objectives of phase 1 of the app modernization solution​

The Microsoft Power Platform will be used as the basis for the Certification Tool along with other Microsoft Power Platform tools","Features to be developed in phase 1, covered by this SOW, include​

- A customer portal where customers sign-up or login to the system and execute and manage the Certified Evergreen process.​

- Payment integration.​

- Diagnostic survey for potential new customers.​

- Data architecture and implementation for collection of certification data and accessibility to data for current and future growth.​

- Bridge from phase 1 of the system to the existing scoring and reporting system.
Ability to spin up a test environment for the Tugboat Institute users to test changes to the system.​

- Setup and administration of the Power Platform for the Tugboat Institute.​

- Documentation and training on usage of the system as well as technical design documentation ​","ITT will provide software solution development services, delivering a software solution which will enable client’s current system and execute and manage the Certified Evergreen process along with the payment process.",,,,,,,
,Titan,HP,Project,Web Development/Test Automation,Printing,It was a web portal built for HP partners for MPS business targeted towards different offerings and their subscriptions. These offerings are for different apps which can be installed on printers. HP marketing and sales team were involved as stakeholder for the project.,"ITT came as extended staff to existing team members, started with API test automation and then started contribution on development. Eventually, ITT took responsibility for 24X7 support, implemented New Relic and Victor Ops.​

As part of the application REST APIs were exposed to HP partners to consume. These APIs were protected via service account authentication.​

​

Target User Group: HP Partners​
Team Structure:  10 SDET, 5 Developers, 1 Manual QA","As In Time Tec took responsibility to automate all regression and smoke test cases, team could achieve goal of daily deployment. Time to code merge to production was possible within 6 hours including all checks and testing.​

With implementation of New Relic and Victor Ops, development team was not required to monitor the system, instead they started receiving call when system required any attention.",,,25+,2+ Years,Closed,Tarun,
,HP Sales Central,HP,Project,Web Development,Printing,"HPSC is HP Inc's highest user traffic web portal; even higher than hpshopping.com.  HP was looking for a development partner to upgrade the web application to address evolving business needs  HPSC contain the latest HP product information, sales and marketing training material, and customizable presentations for HP internal sales/marketing, HP resellers, HP partners, and other approved users​

B2B application ; Access: HP internal and external​

Target user group: WW sales and marketing​","In Time Tec upgraded the HPSC web application portal both technology stack and its sales/marketing content​

In Time Tec redesigned the entire web application to match the latest UI/UX trends and provide a seamless experience for the end users.","In Time Tec helped in achieving speed, performance, efficiency and usability through the newly redesigned HPSC web application. ​

Provided personalized user experience and content for over 65 countries and 30+ languages.",,,15,4+ Years,Active- Maintenance,,
,Hp service Estimator,HP,Project,Web Development,Printing,Service Estimator is a web application which provides a one-stop solution to HP Sales team to add hardware and lifecycle services as per their requirements  and to get rough pricing estimation which helps them in working more efficiently and improves the overall employee experience.,"In Time Tec utilised existing application which was developed for another business unit within HP, understood the implementation and modified it for Services Estimator. Application was also integrated with new systems to bring in accurate data and minimise human intervention. Project included implementation of ETL(Extract, Transform and Load) process, DevOps and AWS Lambda functions.​

​

Target User Group: HP Sales Team​
Team Structure:  1 Sr Software Engineer(Development), 3 Software Engineer(Development), 1 Sr Software Engineer(QA)","Since Services Estimator integrated with multiple other systems, it was easy to bring in new services to the platform. This allowed sales team to move away from excel to a system helping HP to achieve its goal of digital transformation.​

Services Estimator utilised new CI/CD solution which helped HP in maintaining their applications and infrastructure.",,"AWS, Lambda functions and Devops",15,5+ Years,Active,Tarun,From Excel to digital transformation
,HP S&M Portal,HP,Project,Web Development,Printing,Developing a portal that provides a one stop solution for the application users for managing inventory to capitalize the business gains.,"S:ARA Application Overview: Supplies and advanced replenishment (S: ARA) is a project by HP to manage its inventory for the following products to have the maximum business gains.​
Ink, Toner, Uk and Tx​
The project deals with the scope of managing inventory of the above products to capitalize the business gains by managing the quantity of the products, which are to be delivered to its market.​
Currently used by Pilot Distributors - 10​
BP and DBMs - ~10-20​

​","S:ARA Application Overview: Supplies and advanced replenishment (S: ARA) is a project by HP to manage its inventory for the following products to have the maximum business gains.​
Ink, Toner, Uk and Tx​
The project deals with the scope of managing inventory of the above products to capitalize the business gains by managing the quantity of the products, which are to be delivered to its market.​
Currently used by Pilot Distributors - 10​
BP and DBMs - ~10-20​

​",,,19+,2+ Years,Active,Raunak,
,Hp Sustainability Calculator- GAIA,HP,Project,Web Development,Printing,"To enable customer to understand the sustainability metrics such as energy consumption, eco-labels, and recycle content of the product and be able to compare this with other HP products, competitor products and legacy products – for use in tenders, customer presentation and business cases for a product/fleet.​

B2B application ; Access: HP internal access​

Target user group: Great Britain and France for now​

Team structure: 7 Software engineers (Development); 1 Software engineer (QA) ​",Web application where HP employees can compare different products or fleets based on the sustainability data provided by the tool. This will empower customers to recognize sustainability savings and benefits of HP Products at RFP/RFI stage.,"This solution can act as a standalone application or be integrated in other portals in future. We are providing consolidated sustainability metrics for product/fleet comparison, by consuming data from multiple data sources.",,,9,1 Year,Active,,
,HP Portico Fleet Mapping & Design,HP,Project,Web Development,Printing,Portico is a team within HP that takes care of MPS solutions. Client was looking for a solution to track the printing assets on a particular floor or building. ,"[Printing/MPS] Portico is a different flavour of Cartos (home grown product by In Time Tec)  used by HP with added features dedicated to HP. This is an internal application used at different HP sites for building up the print infrastructure. ​
Portico is an application or tool for MPS - 'Managed Printing Services'. ​
It is used by fleet designers to manage and provide service to the valuable customer(s). ​
It allows these MPS providers to optimize the floor plan of the companies and help organizations to reduce costs on print services, maintenance, and better utilization of the resources available.​
In Time Tec is also responsible for L3 support which is part of product O&M (Operations & Maintenance) for Portico. 
Access: Internal​
Target User Group: HP sites in US ​
Team Structure:  1.5 Software Engineer (Development) ;  0.5 Software Engineer (QA)","It allows the visualization and optimization of MPS fleets through every phase of the MPS: pre-sales, fleet design, fleet deployment, service technicians, post-sales, and obsolesce life cycle.​",,,8,5+ Years,Active,Mahesh,
,HP Smartfleet,HP,Project,Web Development,Printing,"The Smart Fleet Early Warning Detection System monitors printer telemetric error data and intervention data on a routine basis. HP users, engineers and account managers, would like to receive alerts when printer errors or intervention data is increasing","A web portal for HP user to subscribe to Smart Fleet alerts and to create their own custom alerts. It provides the following:​
Creation of Custom Alerts ; View Created Custom Alert​
Edit/Modification of Custom Alerts ; Rename of Custom Alerts​
Deletion of Custom Alerts ; Cloning custom Alerts",Web portal for HP user to subscribe to Smart Fleet alerts and to create their own custom alerts.,,,8,6+,Active,,
,HP ITSM DAAS/MPS,HP,Project,Test Automation,Printing,"HP Inc leases printers, laptops, servers, cloud instances  etc on chargeable basis based on the usage. ServiceNow is used  for service management, change management, problem and incident management, asset management, task management and knowledge management.​
(DaaS = Device as a Service ; MPS = Managed Print Service) ​","We offered the support on Qualification  of the new feature development and maintenance of the same. Automating the tests to decrease the manual efforts in regular huge regressions.​
MPS project was completed in Dec-2022 which had team size of 12 engineers. Currently we are supporting DAAS project.​
Access: External​
Target User Group: HP assets users​
Team Structure:  14 Software Engineer (QA/SDET) ;  2 Support Engineer ( Platform Admin and support )   ​",Delivered the high-quality application and the automating  the regression suite and constant support on the issues occurred.,,,16,3+ Years,Active,Poola,
,HP Daas Portal,HP,Project,Web Development,Printing,"To give HP Customers and Partners a one-stop portal for everything PS (Personal Systems) services related. Execution of the transition to the LAER model – Land, Adopt, Expand, Renew. ","PS Services Portal tool is a web-based application for HP enterprise direct customers. HP PS Services Portal is your one place for all things HP Personal Systems Services. HP Personal System Services partners with customers to increase user productivity, operational efficiency, and cost predictability. ","HP PS portal (i.e., HP Daas Portal) helps the organization manage their Customers, Contracts, Orders, Assets, and Services effectively. ​

​",,,8,6+ Years,Active,,
,HP ITSM Development,HP,Project,Software Development,Printing,"ITSM is an infrastructure management system for HP assets (devices). It was an ongoing project for more than 5 years and multiple vendors were supporting the project. Client considered In Time Tec to support with development project as we were already providing Qualification, Automation and L1 Support for ITSM for more than 2 years.","Capability Managers are providing different requirements they receive from their vendors as per business specific use cases. In Time Tec receives requirement and prepares implementation plan to develop and deliver as per documented requirements. ​​
Currently, a lean team is working on the project. and it is expected that team will be upsized to 10+ ServiceNow Developers by over next 9 months.​

​",In Time Tec team has been delivering with quality and consistency. ,,,2,3+ Months,Active,,
,HP PPU,HP,Project,Web Development,Printing/Sales & Marketing,"HP Large format print sales and marketing team was using excel to calculate profit margins and price outcomes. Entire process was manual and error prone. This was automated through the (web application) calculation tool we created. Including downloadable PDFs of the work done.​

​","[Printing/MPS] Large Format Print Portfolio Configure & Price is a pricing simulator that recommends payment quantities for pay-per-use contracts. It estimates values for PageWide XL, DesignJet and Latex printers.​
Access: Internal / HP Partners (Resellers)​
Target User Group: Global​
Team Structure – 1 Software Engineer ","Easy to use tool for HP Partners all over the world. They can login, select printers, configure required services and check final prices with modified margins. Aid in sales and marketing.",,,4,6+ Years,Active,Neetima,Excel (Manual) to web Application
,HP Configurator,HP,Project,Web Development,Printing/Sales & Marketing,"HP Configurator was started as a proposal to meet HP MPS user needs to explore various configurations of printers, understand detailed specifications and customize a configuration based on customer's specific needs. ","[Printing/MPS] Capitalize on HP's Managed portfolio​
HP Print Product Configurator:​
Meet Clent's needs by creating a valid configuration for any A3 or A4 device across HP’s managed print portfolio.​
HP Partner Price Book Tool:​
Build price book for HP’s complete managed print portfolio with easy access to all component level pricing, operating cost per page (OCPP) metrics, product information, and margin calculations​
Access: Internal / HP Partners (Resellers)​
Target User Group: Global​
Team Structure – 1 Software Engineer ; 0.5 Software Engineer (QA)","Flexibility for  worldwide HP direct users and partners to load pre-configured packages with A3/A4 printers. Modify configurations as per need. Calculate estimated operating cost per page. Load country wise pricebook which is a catalog of HP's managed print portfolio with details of each product and prices.​

Overall enhances the process of sales and marketing.​",,,4,6+ Years,Active,Neetima,
,Pharos Service,HP,Project,Web Development,Printing,"Client was looking for a technology partner who would help with custom software development for their customers (leading printer manufacturers).​

​","[Secure Printing] It is an enterprise solution for a secure printing which includes the pull printing and server based/less printing. It includes the encryption of information and keeps the confidentiality of the printing. It support various vendors of the printers as HP, Ricoh, cannon, KM and lexmark. ​
Access:  External​
Target User Group:  Global​
Team Structure:  13 Software Engineers (Development),  2Software Engineers (QA)","1. Developed complete secure print solution for Toshiba, Lexmark and Canon​

2. Developed touchless printing feature for Toshiba, HP, Canon, Xerox, Konica Minolta and Lexmark​

3. Scan to feature development for Toshiba, HP, Canon, Xerox, Konica Minolta and Lexmark​

4. Smartcard authentication for Ricoh Printers​",,,18+,4+ Years,Active,Kapil,
,Cartos,HP,Project,Web Development,Printing,"Cartos is a cloud-based fleet design and asset utilization tool for Managed Print Service (MPS) providers. The name ""Cartos"" is derived from Cartography, or the study of maps. Cartos allows MPS providers to optimize sites, gain more control on print services and provide more efficient costs, maintenance and resource utilization. ​

It is a home-grown product used by clients such as Sharp Global, CopyPro, Inc, and Pharos Systems International, Inc.","[Printing/MPS] Cartos is home grown SaaS product offered as an asset plotting system for managing printers on the floors. Clients use this application via APIs exposed by the product.​
Team Structure: ​
12 Software Engineers (Development)​
2 Software Engineers (QA)​
1 DevOps Engineer ","Cartos helps organizations to optimize sites, gain more control on print services, and provide more efficient costs, maintenance, and resource utilization.​

​",,,16,6+ Years,Active,Mahesh,
,HP ITSM L1,HP,Project,Web Development,Printing,"This is a L1 support project. ITSM team uses ServiceNow for tracking the incidents created by the users during the asset transition. It is an HP Asset Management system that tracks the assets throughout the asset's life cycle. Track the asset information and transition. ​

5 Software Engineers (Support)",ITT provides L1 support to receive user and system-generated incidents. Triage them at the initial phase and provide the solution or move them to the L2 team for further troubleshooting and fixing.  ,"The L1 (Level 1) team is the first point of contact providing the ITSM team to segregate incidents to be moved to L2 or resolved at the Level 1 stage.​

​",,,5,2.5 Years,Active,,
,HP Card Reader,HP,Project,,Printing,The main purpose of the project is to configure a card reader through our utility after which we can read the data from a card that has been configured with the required data​,"This application is a tool – which is used for deployment of HP Card Readers. ​
Allowing the user to: ​
1. View card reader device details, view and set how the card reader interacts with users and how the card data is read and sent. ​
2. Save settings on the device itself or as a JSON file that can be used as a settings template. ​
3. Decode the data read from a card, and review or edit how that card data is decoded.​
Once deployment is complete it is typically uninstalled as it is not required for interaction with the card readers or for the card readers to function.","Provided an easy way to the end users to configure the reader, also an easy way to upgrade the firmware of a reader that is obtained from clients; locally, remote and fleet configuration",,,2,6+ Years,Active- Maintenance,,
,HP FHM,HP,Project,Web Development,Printing,"HP FHM (Fleet Health Management): Is a Visualization and Data Management project that helps extract Printer data from multiple unorganized data sources, cleanse and streamline the data, transform and create visualizations for the business group. Using these visualization, HP make market decisions on the Device Error Data and replacements if needed",In Time Tec developed the solution using Microsoft Power BI platform and Python (Data Science).,,,microsoft power bi & Python,4,5+ Years,Active,,
,HP S&M Reporting,HP,Project,,,"HP (S&M) Sales & Marketing Reporting Team mainly works on creating & maintaining Power BI reports for below HP groups - ​
1) Partner Online Analytics ​
2) Supplies replenishment​
3) Sale productivity tool. Each of the reports are used by HP and the partners to access the sales trend and adopt the required strategy to increase it",In Time Tec developed the solution using Microsoft Power BI platform,,,microsoft power bi ,7,3+Years,Active,,
,HP Data Os,HP,Project/Case Study,Data Engineering,,"We started the HP DataOS Data Engineering project 3 years ago with one project called P2-retargeting with a team of 3 Data Engineers.​

Now, we have 3 projects with DataOS with 17+ engineers: ​

HP P2-Retargeting (now CASCADE) - 9 Data Engineers​

HP Specialty data - 4 Data Engineers, and ​

HP Data Products of 4 Data Engineers. ","The nature of work in all 3 sub-projects is similar. we extract the mass quantity of data around 10 millions of records per day from the client data sources, we process the data, and we write the data to client destination data sources.​

Data Processing includes data cleaning, data validation, encryption, decryption, data privacy checks and Data Migration.​

All the data pipelines were designed and developed by our team.
Data ingestion from multiple sources, like​

Amazon Vendor Central, Best Buy, Criteo, Office Depot, Staples, TERA / ORCA / Postgre / ATHENA / APOLLO etc.​

Share point; From various file types like say, Json, Xml, excel​

By virtue of Web Crawlers and Email Crawlers​

Data wrangling of the above data.​

Creation of the pipelines & flows.​

Handling partitioning challenges arising on account of Scale of the Data.​

Scheduling execution of operations; for given Scenarios or at given scheduled time",All our data pipelines are highly scalable and automated. We do rigorous monitoring of data and pipelines to trace the abnormalities to alert the Data Engineers and the data source teams to take timely actions.,,"Pyspark , Apache airflow , Splunk",17,3+ Years,Active,,
,HP Device Common Firmware,HP,Project,"SDK ,Web Development",Printing,The device common firmware platform is a global HP project that applies one firmware code across all the HP devices from small business to large format market. Our team assists HP in delivering the foundations and capabilities in several key modules.,"Our areas of expertise include the development of firmware (FM) and software development kits (SDK) for HP imaging and printing devices. ​

We integrate a web server within the device so that it may be configured via the network using a standard web browser. ​

We provide a core view framework that offers infrastructure to support all user interfaces across all products. ​

We create walk up features and build components to assist client in comprehending and troubleshooting HP device system conditions. ​

We help our client in all phases of software development, be it design, development, E2E testing, or support.","In Time Tec takes full ownership of the module assigned – and recommends new design, features on an ongoing basis. Key highlights - ​

1. Highest quality release for Beta (every quarter) for both E2 Firmware & SDK with a 97% pass rate​

2. Own the overall work so that HP employees can concentrate on crucial tasks​

   - In Time Tec Tech Leads / Architects drive the work while HP validates and approves the approaches​

3. In Time Tec has added buffer resources with various skills across many streams​

   - Assist in maintaining the velocity​

   - Unpaid resources aid in fixing bugs while not impacting HP budget",,"Python, JAVA, C++, QT , QML",46+,3+Years,Active,,
,HP Print at your service,HP,Project,Embedded Application/Web Application,Printing,The project was a combination of two applications that involved web as well as embedded application development. ​,"Web Application - To setup, configure, monitor and upgrade Linux based thin clients that were running at various customer locations.​
Embedded Application - Custom application built and deployed on Linux based thin clients. The main functionality of the application is tracking the usage on the printers in the same network. ​
Tech stack used - Angular, C#, Linux scripting, Docker​

​",,,"Angular, C#, Linux scripting, Docker​",5,2+ Years,Closed,,
,CPI,RISE Services,Project,Web Application,Healthcare,"A platform that provides the management(finding a job, building relationships, accessing the community, or learning to become more independent and dedicated to helping the individuals to serve to be successful in achieving their goals.) to support children & adults with the development disabilities. ​

​","Community Partnerships of Idaho (CPI) is a multi-service agency, a portal that helps in providing support for children and adults with development disabilities and mental illness. ​

In the Project CPI, we are tracking the data of the client and helping staff to work more efficiently on the client. The Project divides into the Modules as per requirement and the application is mainly divided into three Parts​
Development Services – Adult (ADS)​
Residential Habilitation (ResHab)​
Admin​",A web portal that helps in tracking the data of the client and helping staff to work more efficiently on the client.​,,,1.5,10+ Years,Active-Maintenance,Raunak,
,Healthwise,Healthwise,Project,Web Application,Healthcare,Customer came for technology upgrade project. ,Migration Project from .Net 4.7 to .Net 6.0 Team is testing and migrating the existing pre built codebase. There are 32 services involved in the project with different integration and libraries to be updated.,Project had successful outcome and improved overall performance of the web application.,,.Net,6,3 Months,Active,Prasun,Migration Project from .Net 4.7 to .Net 6.0
,Redbuilt,Redbuilt,Project,Web Application,Construction,"RedBuilt is a leader in the design, manufacture and support of proprietary engineered structural wood products for commercial applications. Headquartered in Boise, Idaho, RedBuilt operates four manufacturing plants and 13 design and sales offices throughout the United States.​

WebApp: Currently, RedBuilt uses several Access database applications in order to keep their records. These Access applications connects to Microsoft SQL Server through Access linked tables. This causes a delayed response. RedBuilt needs to create a new system stable which should be scalable with improved performance.​

Dynamics: Dynamics 365 Sales helps their Sales reps in managing their opportunities, contacts, Companies effectively.","Earlier RedBuilt employees were using a desktop application which has now been converted to a scalable web application with desired features and performance.​
Access: Internal​
Target User Group: US​
Team Structure – 4 Software Engineers, 1 QA","A web application where RedBuilt internal workers can do inventory management, stock check, order follow ups, work planning etc.",,,5,3 Years,Active,Neetima,From desktop application to web app development
,Sekady,Sekady Capital,Project,Financial Workflow Application/Web Application,Construction,"Sekady is optimizing construction through technology by helping Builders keep their clients in the loop, manage their builds, and pay Subcontractors. Schedule tasks, send bid requests, and manage your bids - all from our powerful platform. Sekady is providing payment solutions across multiple industries, processing over 6,000 invoices per month and disbursing over $30 Billion in payments historically. ​

​","In Time Tec has helped Sekady to achieve the goal of managing the builds, paying the Appraisers, Subcontractors, scheduling tasks, sending bid requests, and managing those bids by developing many features (like: Bid Manager, Task Manager, Inspection Management, Partial Payment on Invoices, Draw Requests, etc.). And, helped them to redesign the complete UI to improve user experience.​​
Access: External ​
Target User Group: US​
Team Structure: 12 Software Engineers (Development), 4 Software Engineer (QA, 2 UI/UX","Improved User experience and now Sekady is providing some key features to optimize the construction process by streamlining it to help with the faster payments.​

​",,,18,2 Years,Active,Kuldeep,
,HP Sales & Marketing,HP,Project,Data Engineering,,"HP Sales and Marketing project engagement started with couple of engineers; now is more than fifteen engineers; supporting across below threads encompassing varied needs.​

•Inventory ; Internal Data Engineering Tier 1 ; Market Place ; Global Unified DS ; ML Alarm ; Neptune ; SARA","Data ingestion from multiple sources and Data wrangling ​

Creation of the pipelines & flows.​

Handling partitioning challenges arising on account of Scale of the Data.​

Scheduling execution of operation for given scenarios or at given scheduled time.​

Creation of dashboards / Teams notification alerts tracking Datasets / Scenarios.​

Development of Data Dictionaries, to augment missing documentation.​

Streamlining the PyTrends data fetcher using proxies / different retry mechanisms.​

Monitoring pipelines to make sure the source datasets are up-to-date and need-based triaging.​

Conversion of given SQL queries into PySpark pipeline.",,,"Python / 'R' Language, Spark / PySpark, SQL, Redshift, MsSql, Sparksql",15+,3+Years,Active,,SQL queries into PySpark pipeline.
,HP Smartfleet,HP,Project,Data Science,Printing,"Printer product numbers/event codes reported from the field were mislabelled in the HP database causing data anomalies. This would result in incorrect data analysis drawing ineffective conclusions. Data collected from printers are skewed, resulting in rogue data. If left unattended, the dataset would later grow, resulting in an ineffective analysis. ","Automated analysis would pinpoint clusters of devices with unusual product number-event code association, which can then be passed on to field engineers for validation. Anomalies are rare events but can be a major problem when they occur. Given the pattern of data, the engine should determine if there is an anomaly. Anomalous patterns can be flagged for immediate investigation. It can benefit the customer by proactively resolving the issues than doing it reactively. ","Predictable printer data forecasting pattern.​

Properly label device product numbers/event codes reported from the field in the database. ​

Automated analysis would pinpoint clusters of devices with unusual product number-event code association, which can then be passed onto field engineers for validation to cross verify and take action. ",,,15+,5+ Years,Active,,
,Receipt Localization & Cropping Project,,Case Study,DataScience,," ​
Extraction of each receipt from a single A4/A3 page having multiple receipts scanned therein.​
","Solution​
Convolution Neural Network (CNN) for Computer Vision-based localization, and extraction of each receipt from scans of multiple (business-expense) receipts on to A4/A3 page.​",,,,,,,,
,Timesheet Inferences Project,,Case Study,DataScience,,The thought behind this application is-to extracts the In Time and Out Time from the scanned picture.​,"Input is scanned-images of the attendance sheet. A CNN-based algorithm is used to detect and extract the content of the different sections of the scanned images. Out interest is only to-extract the IN Time and Out Time entered. From the In Time and Out Time, the employee's complete working hour is being determined for the HR group to keep track of the working hour.",,,,,,,,
,Predictions Models Project,,Case Study,DataScience,,"Missing printer data, noisy data, and mix-up of prices expressed in different currencies, dimensions / weight / resolution / print speed / power rating in different units, and at times, sparse data.",,,,,,,,,
,Asset Advisor Project,,Case Study,DataScience,,"Recommendation of Device, which is functionally and technically closest possible to the Reference Device; while satisfying given constraints. ​
","Recommender, which would suggest an alternative device, based on Multiple-criteria e.g., Price, Make, Age, and Pages printed per minute, Resolution, Device Type, Device Technology, and A4/A3 Support.​",,,,,,,,
,Selenium Test Automation for a Telecommunications Equipment Company​,,Case Study,Selenium Test Automation,,The leading telecommunications equipment company struggled with time-consuming and error-prone manual testing.,They implemented Selenium for UI and API test automation.,"Results:​

Testing time reduced by 50%, enabling faster feedback on changes.​

Consistent and reliable test results, minimizing human errors.​

Streamlined API testing and improved backend functionality.​

Enhanced collaboration between development and testing teams.​

Benefits:​

Accelerated time-to-market for new features and updates.​

Increased test coverage, reducing the risk of critical defects.​

Delivered high-quality network infrastructure management software.​

Conclusion: Selenium test automation transformed testing, ensuring a robust and reliable application for managing critical network infrastructure.",,Selenium,,,,,
,US based Load Board and Freight Management,,Case Study,Salesforce Test Automation,,"US based Load Board and Freight Management  company was facing challenges in managing their complex Salesforce application testing process. Manual testing was time-consuming and prone to errors, causing delays in delivering updates to their sales team and customers.","The company adopted Salesforce test automation using Provar, a robust test automation tool designed specifically for Salesforce. They automated their end-to-end testing, including lead management, opportunity tracking, and sales forecasting.","Reduced testing time by 60%, accelerating time-to-market for new features.​

Improved test coverage, resulting in a significant reduction in post-release defects.​

Enhanced collaboration between development and testing teams, leading to better alignment and faster issue resolution.",,Provar,,,,,
,"
 Migrating health and safety data for global agribusiness",,PDF-Case Study,Business Intelligence,AgriBusiness,A global agribusiness was in the process of migrating to a new system for their health and safety data. Keeping clear business requirements was difficult,"In Time Tec came alongside their team to support the migration. We worked with the product owners to talk about what was and was not working, targeted needs, and created a plan. We supported the integration and managed the transition. 
","IMPROVED TRANSITION WORKFLOW: 
Reliable access during transition and continued support after transition. 
",,"DATA CLEANSING: Airflow, Talend 
BIGDATA: Hadoop 
BUSINESS INTELLIGENCE: Business Intelligence experience using Power BI, SSRS, QlikView, WebFocus. Cognos, BRIO. 
QUERY AND SCRIPTING: SQL, Python, Power Shell 
DATABASES: SQLServer 2008- 2017, MySQL, Vertica, Mongo 
",,,,,"MIGRATING HEALTH AND SAFETY 
DATA FOR GLOBAL AGRIBUSINESS
"
,Fully Customizable database,,PDF-Case Study,Cyber Security,Construction software solutions,"The client, a construction software solutions company, needed a third-party to test their existing system. They knew they had built plenty of security and defenses and needed someone to validate their testing.","In Time Tec essentially hacked their application in an effort to try to break or compromise it and share vulnerabilities with the client. We were able to bypass a lot of their existing defenses and showed them gaps for exploitations. We provided the client with a report of the vulnerabilities, showing which part of the code was vulnerable and suggested solutions. ",MORE SECURITY: Found gaps where the application could be more secure Validated what was working: Proved that some of what they had done worked as it was supposed to.,,,,,,,
, Saving Ecommerce client money,,PDF-Case Study,Devops,Ecommerce,"Our client has an eCommerce site that runs all of their retail business. Before partnering with In Time Tec, the client was using another vendor; that vendor had full control, meaning if they ever disappeared, all the knowledge and access to the client's website infrastructure would disappear as well. ","With onshore and offshore resources, In Time Tec was able to learn the old system alongside the client's DevOps team, ensuring that if our engagement ended, they would have people on their team who would have the necessary information and knowledge. ","SAVES MEMBERS AND CLIENT TIME: 
No downtime during busy 2020 holiday season. 
INCREASED WORK EFFICIENCY: Moved cloud providers for cost savings and improved features. 
",,,,,,,
, Automating Production Monitoring,,PDF-Case Study,Data Science,Healthcare Technology,A healthcare technology company was manually checking multiple dash- boards for multiple clients everyday to monitor their software system health. Technologists were spending three to four hours a day monitoring all the dashboards and creating tickets to address issues.,In Time Tec created a team of onshore developers to work with the company's existing team and decrease the manual production monitoring. Our team created an API call from App Insights through Azure into a Python script; the analysis is run in Python and flagged when there is an issue; a Jira ticket is then created for the issue. ,"By working with In Time Tec, this company was able to decrease time spent on manual monitoring and ticketing, getting back at least 15 hours of working time a week. 
",,"LANGUAGES: 
Python, SQL, R, Scala 
SOFTWARE: 
Data Bricks, Spark, Delta Lake, ML Flow, AWS RDS, AWS Redshift, Azure Synapse, Mongo DB 
DATA ANALYSIS/MANIPULATION Numpy, Pandas, Scipy, statsmodels 
ML TOOLS: 
XGBoost, SciKit Learn, TensorFlow, Keras, PyTorch, Prophet",,,,,
, Saving Ecommerce client money,,PDF-Case Study,Mobile app development,Education,"Our client, a non-profit association that administers learning certificates and courses, had a manual honor-based system for tracking continuing education courses. Members would attend an event to get credits, get a piece of paper that would show the credits, and then manually enter credits in the non-profits existing system. Many people were forgetting to log or logging incorrect data and there was too much room for inaccuracies. ","In Time Tec built a mobile application that brought the whole system online. The app allows members to register, check in, and track events they attend for continuing education credits. Instead of remembering to manually track credits, members now just scan a QR code when they arrive at an event and their attendance is tracked for credit. 
","SAVES MEMBERS AND CLIENT TIME: 
More accuracy of continuing education credit tracking with less room for human error. Easier and more efficient tracking. ",,,,,,,
