No.,Industry / Domain,Client Name,Client Country,Project Title,Project Summary,ITT Delivery SPOC/PM,Platform ,Technology,Team Size,Project Term,Current Status,Any Other Comments
79,Food Quality Inspection ,IntelliScience Corporation,US,Intelliscience,"Intellicience is a patented, proprietary software platform enables organizations to use digital imagery to monitor and analyze critical processes in real-time. IntelliScience can support virtually any camera/sensor system or combination of systems, and our technology easily integrates with existing production equipment and quality assurance processes.

IntelliScience provides users with a powerful, integrated, precision-measurement platform that is easily and quickly customized for deployment with specific processes and products.                            We are developing a web framework for collection data and images from product lines and returning the appropriate summary.",Prasun,Web ,"C#, DevOps",5,< 6 months,Active,
80,Logistics ,J.R. Simplot Company,Australia,Simplot Sharepoint Forms,"Project Background:​ Simplot had their logistics solutions developed in Sharepoint 2013 which eventually needed to digitalize and that’s where the Phase 1 started, ITT is migrating the existing Sharepoint 2013 application to Microsoft Power platform.Solution In Time Tec Offered:​ ITT proposed a Microsoft Power Platform solution to migrate the existing SharePoint forms to Canvas app, which enables users to have more usable experience.For reporting part PowerBI tool being used which gives user more detailed report with good user experience. ​Outcome:​ A customized app to manage Simplot's Fixed Assets details and approval process along with few other apps with a more user-friendly reporting feature.",Sudhir,Web ,"Canvas App, Power BI",7,11+ months,Active Development,Many app are live. 
81,IT , Newfold Digital Inc.,US,Newfold Digital/MarkMonitor,In TIme Tec is supporting client with web development from scratch. This includes new development.,Mahendra,Web ,"Java, Springboot",19,1+ years,Active Development,"11 approved head count, 8 proposed as add on head count (total 19)"
82,Security,PlexTrac,US,PlexTrac,"Domain - Information Security. Solution provided by Itt -PlexTrac is a cybersecurity reporting and workflow management platform, available in market. We are helping them in developing new features in their platform along with providing quality assurance services such as manual testing, test automation for all critical paths in the tool, to make it more robust and stable.",Wamakshi,Web ,"ReactJS, NodeJS",6,8+ months ,Active,
83,IT,Mimo Monitors,US ,Mimo Monitors," Mimo Minitors products (desktop app, android app and devices - touch screen monitors and displays) are designed to eliminate the fuss of multiple wires, with only one USB connection powerful to accommodate both video (Zoom, Teams, Google Meet) and touch capability, and run everything you need. Supported under Windows, Mac, and Linux, and designed specifically for demanding commercial uses and industrial environments, we work to provide accessibility, versatility, security, and top-notch quality across all of our devices.",Wamakshi / Inwinder,"Desktop, Android, Embedded"," Javascript (Angular, Node), Html/Css, Electron, Java",5,2+ months,Active Development,
84,Wellness ,Life's Abundance,US,L.A. App,[Pet care / personal care]Life's Abundance products are made for people and pets (dogs and cats). They already have an existing website. They wanted a mobile app for their sales team so that sales team is updates about volume of sales and commission on sales. ​In Time developed an iOS App which is live and their internal tools / admin tools.,Vijaya,Web+Mobile ,"React Native, ASP.NET",5,8 months,Active,
85,Security ,"Shadowscape, Inc.",US,ShadowScape,"Client Background: Shadowscape is built upon the idea that by understanding our threats and scrutinizing the threats that lurk in the darkest shadows among the threat landscape, we can better understand the principles of network defense.                     Project Overview:  A cloud based web application, that will help Shadowscape do threat analysis on their clients organization. It will identify the attack surfaces(like devices, workforce, softwares etc), has mathematics to compute the likelihood and impact with different adversaries.",Kuldeep,Web ,"ReactJS, NodeJS",4,5+ months,Active ,
86,Games & Betting ,c308,US,Idaho Lottery,In Time Tec is supporting with enhancements for an existing mobile app (cross platform) which is available for Android and iOS platforms. Note - We are have possibilities of a new project (web development) expected to kickoff by mid of July-23.,Suresh,Mobile ,"React Native, Vue.JS",2,1+ months ,Active,Ongoing 
87,Aviation,eTT Aviation,US,Skedflex,Skedflex providing recreational and commercial operators the ability to obtain approval for missions that are operated within close proximity to airports included in the LAANC program. Client reached us for bug fixing support for their existing application. ,Sanjeev / Arun,Web,"PHP, Smarty framework",2,3 + months,Active,Ongoing 
88,Construction,Hansen Rice,US,Hansen Rice,"Hansen Rice is one of the companies that provide integrated construction solutions. They are well known for their design-build approach to delivering projects. As a team, we are creating an Estimator tool that will reduce the manual effort involved in storing project details and in calculating estimates at various levels.",Chaithra / Gnanaraj,Web,".NET Core, ReactJS",18,9 months ,Active,Ongoing 
89,,HP R&A Core Transformation,,,,Arun / Vijaya,,,,,,
90,,Mimo Monitors,US,Fuji,"Mimo Monitors is coming up with a solution to provide mass display alerts for places like schools, offices etc. in case of emergencies. The alerts would be displayed on any digital kiosks, monitors TVs etc. within the customer campus. Mimo will design and develop an internet connected hardware device that is connected as an intermediary to the display unit. This device, code named Fuji is capable of taking over any HDMI output that is going to the digital displays and put its own custom image and text. This functionality will be used for alerting.",Wamakshi / Inwinder,Web/IoT/Android,"Fuji: React, Python, Azure IoT, Azure, C++, NodeJs, MongoDB, ",21,4 months,Under Development ,
91,Insurance,Natacent Development,US,Natacent Development,"[Employee Insurance] Netacent’s solution is a fully-scalable, cloud-based UI software platform providing complete customizable and comprehensive tools for state UI benefits, tax, and appeals administration. Modernizing Unemployment Insurance Operations for State Agencies. we are doing DevOps and Dev work for them 7 offshore and 1 Onshore.",Nitesh / Mahendra,Web ,".NET, Azure",8,1+ year,Under Development ,
92,Web domain ,Newfold,US,Newfold ,Newfold Digital is a leading web presence solutions provider serving millions of small-to-medium businesses globally. Newfold offers solutions that allow companies to safely and effectively manage their domain portfolios. We are helping them in Dev. UI/UX and documentation work. It's a Java based project. we have 7 offshore and 5 Onshore.,Mahendra,Web,"Java, Springboot",13,1+ year ,Under Development ,
93,,RSG, US,Reproduction Speciality Group (RSG),"RSG will be launching our new system for clients to manage their semen and embryo storage on October 23rd. This new platform will allow you to track and take action on your frozen genetics in a user and mobile friendly experience. The platform features a more advanced dashboard and detailed animal profiles including images, registration numbers and other key datapoints.",Poola,Web+Mobile,".NET, ReactJS",6,7 months + Maintainance (ongoing),Under Development ,
94,,Tugboat,,,,Sudhir,,,,,,
95,,Vessel,,,,Sumit / Kapil,,,,,,
96,,Quintet,,,,Kuldeep ,,,,,,
