#,Project name,Client,Type,Domain,Industry,Problem statement,Solution provided,Outcome,Key Features,Technology used,Team size,Duration,Status,SPOC,Migration
,hp sales central,hp,project,web development,printing,"hpsc is hp inc's highest user traffic web portal; even higher than hpshopping.com.  hp was looking for a development partner to upgrade the web application to address evolving business needs  hpsc contain the latest hp product information, sales and marketing training material, and customizable presentations for hp internal sales/marketing, hp resellers, hp partners, and other approved users​

b2b application ; access: hp internal and external​

target user group: ww sales and marketing​","in time tec upgraded the hpsc web application portal both technology stack and its sales/marketing content​

in time tec redesigned the entire web application to match the latest ui/ux trends and provide a seamless experience for the end users.","in time tec helped in achieving speed, performance, efficiency and usability through the newly redesigned hpsc web application. ​

provided personalized user experience and content for over 65 countries and 30+ languages.",,,15,4+ years,active- maintenance,,
,hp service estimator,hp,project,web development,printing,service estimator is a web application which provides a one-stop solution to hp sales team to add hardware and lifecycle services as per their requirements  and to get rough pricing estimation which helps them in working more efficiently and improves the overall employee experience.,"in time tec utilised existing application which was developed for another business unit within hp, understood the implementation and modified it for services estimator. application was also integrated with new systems to bring in accurate data and minimise human intervention. project included implementation of etl(extract, transform and load) process, devops and aws lambda functions.​

​

target user group: hp sales team​
team structure:  1 sr software engineer(development), 3 software engineer(development), 1 sr software engineer(qa)","since services estimator integrated with multiple other systems, it was easy to bring in new services to the platform. this allowed sales team to move away from excel to a system helping hp to achieve its goal of digital transformation.​

services estimator utilised new ci/cd solution which helped hp in maintaining their applications and infrastructure.",,"aws, lambda functions and devops",15,5+ years,active,tarun,from excel to digital transformation
,hp s&m portal,hp,project,web development,printing,developing a portal that provides a one stop solution for the application users for managing inventory to capitalize the business gains.,"s:ara application overview: supplies and advanced replenishment (s: ara) is a project by hp to manage its inventory for the following products to have the maximum business gains.​
ink, toner, uk and tx​
the project deals with the scope of managing inventory of the above products to capitalize the business gains by managing the quantity of the products, which are to be delivered to its market.​
currently used by pilot distributors - 10​
bp and dbms - ~10-20​

​","s:ara application overview: supplies and advanced replenishment (s: ara) is a project by hp to manage its inventory for the following products to have the maximum business gains.​
ink, toner, uk and tx​
the project deals with the scope of managing inventory of the above products to capitalize the business gains by managing the quantity of the products, which are to be delivered to its market.​
currently used by pilot distributors - 10​
bp and dbms - ~10-20​

​",,,19+,2+ years,active,raunak,
,hp sustainability calculator- gaia,hp,project,web development,printing,"to enable customer to understand the sustainability metrics such as energy consumption, eco-labels, and recycle content of the product and be able to compare this with other hp products, competitor products and legacy products – for use in tenders, customer presentation and business cases for a product/fleet.​

b2b application ; access: hp internal access​

target user group: great britain and france for now​

team structure: 7 software engineers (development); 1 software engineer (qa) ​",web application where hp employees can compare different products or fleets based on the sustainability data provided by the tool. this will empower customers to recognize sustainability savings and benefits of hp products at rfp/rfi stage.,"this solution can act as a standalone application or be integrated in other portals in future. we are providing consolidated sustainability metrics for product/fleet comparison, by consuming data from multiple data sources.",,,9,1 year,active,,
,hp portico fleet mapping & design,hp,project,web development,printing,portico is a team within hp that takes care of mps solutions. client was looking for a solution to track the printing assets on a particular floor or building. ,"[printing/mps] portico is a different flavour of cartos (home grown product by in time tec)  used by hp with added features dedicated to hp. this is an internal application used at different hp sites for building up the print infrastructure. ​
portico is an application or tool for mps - 'managed printing services'. ​
it is used by fleet designers to manage and provide service to the valuable customer(s). ​
it allows these mps providers to optimize the floor plan of the companies and help organizations to reduce costs on print services, maintenance, and better utilization of the resources available.​
in time tec is also responsible for l3 support which is part of product o&m (operations & maintenance) for portico. 
access: internal​
target user group: hp sites in us ​
team structure:  1.5 software engineer (development) ;  0.5 software engineer (qa)","it allows the visualization and optimization of mps fleets through every phase of the mps: pre-sales, fleet design, fleet deployment, service technicians, post-sales, and obsolesce life cycle.​",,,8,5+ years,active,mahesh,
,hp smartfleet,hp,project,web development,printing,"the smart fleet early warning detection system monitors printer telemetric error data and intervention data on a routine basis. hp users, engineers and account managers, would like to receive alerts when printer errors or intervention data is increasing","a web portal for hp user to subscribe to smart fleet alerts and to create their own custom alerts. it provides the following:​
creation of custom alerts ; view created custom alert​
edit/modification of custom alerts ; rename of custom alerts​
deletion of custom alerts ; cloning custom alerts",web portal for hp user to subscribe to smart fleet alerts and to create their own custom alerts.,,,8,6+,active,,
,hp itsm daas/mps,hp,project,test automation,printing,"hp inc leases printers, laptops, servers, cloud instances  etc on chargeable basis based on the usage. servicenow is used  for service management, change management, problem and incident management, asset management, task management and knowledge management.​
(daas = device as a service ; mps = managed print service) ​","we offered the support on qualification  of the new feature development and maintenance of the same. automating the tests to decrease the manual efforts in regular huge regressions.​
mps project was completed in dec-2022 which had team size of 12 engineers. currently we are supporting daas project.​
access: external​
target user group: hp assets users​
team structure:  14 software engineer (qa/sdet) ;  2 support engineer ( platform admin and support )   ​",delivered the high-quality application and the automating  the regression suite and constant support on the issues occurred.,,,16,3+ years,active,poola,
,hp daas portal,hp,project,web development,printing,"to give hp customers and partners a one-stop portal for everything ps (personal systems) services related. execution of the transition to the laer model – land, adopt, expand, renew. ","ps services portal tool is a web-based application for hp enterprise direct customers. hp ps services portal is your one place for all things hp personal systems services. hp personal system services partners with customers to increase user productivity, operational efficiency, and cost predictability. ","hp ps portal (i.e., hp daas portal) helps the organization manage their customers, contracts, orders, assets, and services effectively. ​

​",,,8,6+ years,active,,
,hp itsm development,hp,project,software development,printing,"itsm is an infrastructure management system for hp assets (devices). it was an ongoing project for more than 5 years and multiple vendors were supporting the project. client considered in time tec to support with development project as we were already providing qualification, automation and l1 support for itsm for more than 2 years.","capability managers are providing different requirements they receive from their vendors as per business specific use cases. in time tec receives requirement and prepares implementation plan to develop and deliver as per documented requirements. ​​
currently, a lean team is working on the project. and it is expected that team will be upsized to 10+ servicenow developers by over next 9 months.​

​",in time tec team has been delivering with quality and consistency. ,,,2,3+ months,active,,
,hp ppu,hp,project,web development,printing/sales & marketing,"hp large format print sales and marketing team was using excel to calculate profit margins and price outcomes. entire process was manual and error prone. this was automated through the (web application) calculation tool we created. including downloadable pdfs of the work done.​

​","[printing/mps] large format print portfolio configure & price is a pricing simulator that recommends payment quantities for pay-per-use contracts. it estimates values for pagewide xl, designjet and latex printers.​
access: internal / hp partners (resellers)​
target user group: global​
team structure – 1 software engineer ","easy to use tool for hp partners all over the world. they can login, select printers, configure required services and check final prices with modified margins. aid in sales and marketing.",,,4,6+ years,active,neetima,excel (manual) to web application
,hp configurator,hp,project,web development,printing/sales & marketing,"hp configurator was started as a proposal to meet hp mps user needs to explore various configurations of printers, understand detailed specifications and customize a configuration based on customer's specific needs. ","[printing/mps] capitalize on hp's managed portfolio​
hp print product configurator:​
meet clent's needs by creating a valid configuration for any a3 or a4 device across hp’s managed print portfolio.​
hp partner price book tool:​
build price book for hp’s complete managed print portfolio with easy access to all component level pricing, operating cost per page (ocpp) metrics, product information, and margin calculations​
access: internal / hp partners (resellers)​
target user group: global​
team structure – 1 software engineer ; 0.5 software engineer (qa)","flexibility for  worldwide hp direct users and partners to load pre-configured packages with a3/a4 printers. modify configurations as per need. calculate estimated operating cost per page. load country wise pricebook which is a catalog of hp's managed print portfolio with details of each product and prices.​

overall enhances the process of sales and marketing.​",,,4,6+ years,active,neetima,
,pharos service,hp,project,web development,printing,"client was looking for a technology partner who would help with custom software development for their customers (leading printer manufacturers).​

​","[secure printing] it is an enterprise solution for a secure printing which includes the pull printing and server based/less printing. it includes the encryption of information and keeps the confidentiality of the printing. it support various vendors of the printers as hp, ricoh, cannon, km and lexmark. ​
access:  external​
target user group:  global​
team structure:  13 software engineers (development),  2software engineers (qa)","1. developed complete secure print solution for toshiba, lexmark and canon​

2. developed touchless printing feature for toshiba, hp, canon, xerox, konica minolta and lexmark​

3. scan to feature development for toshiba, hp, canon, xerox, konica minolta and lexmark​

4. smartcard authentication for ricoh printers​",,,18+,4+ years,active,kapil,
,cartos,hp,project,web development,printing,"cartos is a cloud-based fleet design and asset utilization tool for managed print service (mps) providers. the name ""cartos"" is derived from cartography, or the study of maps. cartos allows mps providers to optimize sites, gain more control on print services and provide more efficient costs, maintenance and resource utilization. ​

it is a home-grown product used by clients such as sharp global, copypro, inc, and pharos systems international, inc.","[printing/mps] cartos is home grown saas product offered as an asset plotting system for managing printers on the floors. clients use this application via apis exposed by the product.​
team structure: ​
12 software engineers (development)​
2 software engineers (qa)​
1 devops engineer ","cartos helps organizations to optimize sites, gain more control on print services, and provide more efficient costs, maintenance, and resource utilization.​

​",,,16,6+ years,active,mahesh,
,hp itsm l1,hp,project,web development,printing,"this is a l1 support project. itsm team uses servicenow for tracking the incidents created by the users during the asset transition. it is an hp asset management system that tracks the assets throughout the asset's life cycle. track the asset information and transition. ​

5 software engineers (support)",itt provides l1 support to receive user and system-generated incidents. triage them at the initial phase and provide the solution or move them to the l2 team for further troubleshooting and fixing.  ,"the l1 (level 1) team is the first point of contact providing the itsm team to segregate incidents to be moved to l2 or resolved at the level 1 stage.​

​",,,5,2.5 years,active,,
,hp card reader,hp,project,,printing,the main purpose of the project is to configure a card reader through our utility after which we can read the data from a card that has been configured with the required data​,"this application is a tool – which is used for deployment of hp card readers. ​
allowing the user to: ​
1. view card reader device details, view and set how the card reader interacts with users and how the card data is read and sent. ​
2. save settings on the device itself or as a json file that can be used as a settings template. ​
3. decode the data read from a card, and review or edit how that card data is decoded.​
once deployment is complete it is typically uninstalled as it is not required for interaction with the card readers or for the card readers to function.","provided an easy way to the end users to configure the reader, also an easy way to upgrade the firmware of a reader that is obtained from clients; locally, remote and fleet configuration",,,2,6+ years,active- maintenance,,
,hp fhm,hp,project,web development,printing,"hp fhm (fleet health management): is a visualization and data management project that helps extract printer data from multiple unorganized data sources, cleanse and streamline the data, transform and create visualizations for the business group. using these visualization, hp make market decisions on the device error data and replacements if needed",in time tec developed the solution using microsoft power bi platform and python (data science).,,,microsoft power bi & python,4,5+ years,active,,
,hp s&m reporting,hp,project,,,"hp (s&m) sales & marketing reporting team mainly works on creating & maintaining power bi reports for below hp groups - ​
1) partner online analytics ​
2) supplies replenishment​
3) sale productivity tool. each of the reports are used by hp and the partners to access the sales trend and adopt the required strategy to increase it",in time tec developed the solution using microsoft power bi platform,,,microsoft power bi ,7,3+years,active,,
,hp data os,hp,project/case study,data engineering,,"we started the hp dataos data engineering project 3 years ago with one project called p2-retargeting with a team of 3 data engineers.​

now, we have 3 projects with dataos with 17+ engineers: ​

hp p2-retargeting (now cascade) - 9 data engineers​

hp specialty data - 4 data engineers, and ​

hp data products of 4 data engineers. ","the nature of work in all 3 sub-projects is similar. we extract the mass quantity of data around 10 millions of records per day from the client data sources, we process the data, and we write the data to client destination data sources.​

data processing includes data cleaning, data validation, encryption, decryption, data privacy checks and data migration.​

all the data pipelines were designed and developed by our team.
data ingestion from multiple sources, like​

amazon vendor central, best buy, criteo, office depot, staples, tera / orca / postgre / athena / apollo etc.​

share point; from various file types like say, json, xml, excel​

by virtue of web crawlers and email crawlers​

data wrangling of the above data.​

creation of the pipelines & flows.​

handling partitioning challenges arising on account of scale of the data.​

scheduling execution of operations; for given scenarios or at given scheduled time",all our data pipelines are highly scalable and automated. we do rigorous monitoring of data and pipelines to trace the abnormalities to alert the data engineers and the data source teams to take timely actions.,,"pyspark , apache airflow , splunk",17,3+ years,active,,
,hp device common firmware,hp,project,"sdk ,web development",printing,the device common firmware platform is a global hp project that applies one firmware code across all the hp devices from small business to large format market. our team assists hp in delivering the foundations and capabilities in several key modules.,"our areas of expertise include the development of firmware (fm) and software development kits (sdk) for hp imaging and printing devices. ​

we integrate a web server within the device so that it may be configured via the network using a standard web browser. ​

we provide a core view framework that offers infrastructure to support all user interfaces across all products. ​

we create walk up features and build components to assist client in comprehending and troubleshooting hp device system conditions. ​

we help our client in all phases of software development, be it design, development, e2e testing, or support.","in time tec takes full ownership of the module assigned – and recommends new design, features on an ongoing basis. key highlights - ​

1. highest quality release for beta (every quarter) for both e2 firmware & sdk with a 97% pass rate​

2. own the overall work so that hp employees can concentrate on crucial tasks​

   - in time tec tech leads / architects drive the work while hp validates and approves the approaches​

3. in time tec has added buffer resources with various skills across many streams​

   - assist in maintaining the velocity​

   - unpaid resources aid in fixing bugs while not impacting hp budget",,"python, java, c++, qt , qml",46+,3+years,active,,
,hp print at your service,hp,project,embedded application/web application,printing,the project was a combination of two applications that involved web as well as embedded application development. ​,"web application - to setup, configure, monitor and upgrade linux based thin clients that were running at various customer locations.​
embedded application - custom application built and deployed on linux based thin clients. the main functionality of the application is tracking the usage on the printers in the same network. ​
tech stack used - angular, c#, linux scripting, docker​

​",,,"angular, c#, linux scripting, docker​",5,2+ years,closed,,
,cpi,rise services,project,web application,healthcare,"a platform that provides the management(finding a job, building relationships, accessing the community, or learning to become more independent and dedicated to helping the individuals to serve to be successful in achieving their goals.) to support children & adults with the development disabilities. ​

​","community partnerships of idaho (cpi) is a multi-service agency, a portal that helps in providing support for children and adults with development disabilities and mental illness. ​

in the project cpi, we are tracking the data of the client and helping staff to work more efficiently on the client. the project divides into the modules as per requirement and the application is mainly divided into three parts​
development services – adult (ads)​
residential habilitation (reshab)​
admin​",a web portal that helps in tracking the data of the client and helping staff to work more efficiently on the client.​,,,1.5,10+ years,active-maintenance,raunak,
,healthwise,healthwise,project,web application,healthcare,customer came for technology upgrade project. ,migration project from .net 4.7 to .net 6.0 team is testing and migrating the existing pre built codebase. there are 32 services involved in the project with different integration and libraries to be updated.,project had successful outcome and improved overall performance of the web application.,,.net,6,3 months,active,prasun,migration project from .net 4.7 to .net 6.0
,redbuilt,redbuilt,project,web application,construction,"redbuilt is a leader in the design, manufacture and support of proprietary engineered structural wood products for commercial applications. headquartered in boise, idaho, redbuilt operates four manufacturing plants and 13 design and sales offices throughout the united states.​

webapp: currently, redbuilt uses several access database applications in order to keep their records. these access applications connects to microsoft sql server through access linked tables. this causes a delayed response. redbuilt needs to create a new system stable which should be scalable with improved performance.​

dynamics: dynamics 365 sales helps their sales reps in managing their opportunities, contacts, companies effectively.","earlier redbuilt employees were using a desktop application which has now been converted to a scalable web application with desired features and performance.​
access: internal​
target user group: us​
team structure – 4 software engineers, 1 qa","a web application where redbuilt internal workers can do inventory management, stock check, order follow ups, work planning etc.",,,5,3 years,active,neetima,from desktop application to web app development
,sekady,sekady capital,project,financial workflow application/web application,construction,"sekady is optimizing construction through technology by helping builders keep their clients in the loop, manage their builds, and pay subcontractors. schedule tasks, send bid requests, and manage your bids - all from our powerful platform. sekady is providing payment solutions across multiple industries, processing over 6,000 invoices per month and disbursing over $30 billion in payments historically. ​

​","in time tec has helped sekady to achieve the goal of managing the builds, paying the appraisers, subcontractors, scheduling tasks, sending bid requests, and managing those bids by developing many features (like: bid manager, task manager, inspection management, partial payment on invoices, draw requests, etc.). and, helped them to redesign the complete ui to improve user experience.​​
access: external ​
target user group: us​
team structure: 12 software engineers (development), 4 software engineer (qa, 2 ui/ux","improved user experience and now sekady is providing some key features to optimize the construction process by streamlining it to help with the faster payments.​

​",,,18,2 years,active,kuldeep,
,hp sales & marketing,hp,project,data engineering,,"hp sales and marketing project engagement started with couple of engineers; now is more than fifteen engineers; supporting across below threads encompassing varied needs.​

•inventory ; internal data engineering tier 1 ; market place ; global unified ds ; ml alarm ; neptune ; sara","data ingestion from multiple sources and data wrangling ​

creation of the pipelines & flows.​

handling partitioning challenges arising on account of scale of the data.​

scheduling execution of operation for given scenarios or at given scheduled time.​

creation of dashboards / teams notification alerts tracking datasets / scenarios.​

development of data dictionaries, to augment missing documentation.​

streamlining the pytrends data fetcher using proxies / different retry mechanisms.​

monitoring pipelines to make sure the source datasets are up-to-date and need-based triaging.​

conversion of given sql queries into pyspark pipeline.",,,"python / 'r' language, spark / pyspark, sql, redshift, mssql, sparksql",15+,3+years,active,,sql queries into pyspark pipeline.
,hp smartfleet,hp,project,data science,printing,"printer product numbers/event codes reported from the field were mislabelled in the hp database causing data anomalies. this would result in incorrect data analysis drawing ineffective conclusions. data collected from printers are skewed, resulting in rogue data. if left unattended, the dataset would later grow, resulting in an ineffective analysis. ","automated analysis would pinpoint clusters of devices with unusual product number-event code association, which can then be passed on to field engineers for validation. anomalies are rare events but can be a major problem when they occur. given the pattern of data, the engine should determine if there is an anomaly. anomalous patterns can be flagged for immediate investigation. it can benefit the customer by proactively resolving the issues than doing it reactively. ","predictable printer data forecasting pattern.​

properly label device product numbers/event codes reported from the field in the database. ​

automated analysis would pinpoint clusters of devices with unusual product number-event code association, which can then be passed onto field engineers for validation to cross verify and take action. ",,,15+,5+ years,active,,
,receipt localization & cropping project,,case study,datascience,," ​
extraction of each receipt from a single a4/a3 page having multiple receipts scanned therein.​
","solution​
convolution neural network (cnn) for computer vision-based localization, and extraction of each receipt from scans of multiple (business-expense) receipts on to a4/a3 page.​",,,,,,,,
,timesheet inferences project,,case study,datascience,,the thought behind this application is-to extracts the in time and out time from the scanned picture.​,"input is scanned-images of the attendance sheet. a cnn-based algorithm is used to detect and extract the content of the different sections of the scanned images. out interest is only to-extract the in time and out time entered. from the in time and out time, the employee's complete working hour is being determined for the hr group to keep track of the working hour.",,,,,,,,
,predictions models project,,case study,datascience,,"missing printer data, noisy data, and mix-up of prices expressed in different currencies, dimensions / weight / resolution / print speed / power rating in different units, and at times, sparse data.",,,,,,,,,
,asset advisor project,,case study,datascience,,"recommendation of device, which is functionally and technically closest possible to the reference device; while satisfying given constraints. ​
","recommender, which would suggest an alternative device, based on multiple-criteria e.g., price, make, age, and pages printed per minute, resolution, device type, device technology, and a4/a3 support.​",,,,,,,,
,selenium test automation for a telecommunications equipment company​,,case study,selenium test automation,,the leading telecommunications equipment company struggled with time-consuming and error-prone manual testing.,they implemented selenium for ui and api test automation.,"results:​

testing time reduced by 50%, enabling faster feedback on changes.​

consistent and reliable test results, minimizing human errors.​

streamlined api testing and improved backend functionality.​

enhanced collaboration between development and testing teams.​

benefits:​

accelerated time-to-market for new features and updates.​

increased test coverage, reducing the risk of critical defects.​

delivered high-quality network infrastructure management software.​

conclusion: selenium test automation transformed testing, ensuring a robust and reliable application for managing critical network infrastructure.",,selenium,,,,,
,us based load board and freight management,,case study,salesforce test automation,,"us based load board and freight management  company was facing challenges in managing their complex salesforce application testing process. manual testing was time-consuming and prone to errors, causing delays in delivering updates to their sales team and customers.","the company adopted salesforce test automation using provar, a robust test automation tool designed specifically for salesforce. they automated their end-to-end testing, including lead management, opportunity tracking, and sales forecasting.","reduced testing time by 60%, accelerating time-to-market for new features.​

improved test coverage, resulting in a significant reduction in post-release defects.​

enhanced collaboration between development and testing teams, leading to better alignment and faster issue resolution.",,provar,,,,,
,"
 migrating health and safety data for global agribusiness",,pdf-case study,business intelligence,agribusiness,a global agribusiness was in the process of migrating to a new system for their health and safety data. keeping clear business requirements was difficult,"in time tec came alongside their team to support the migration. we worked with the product owners to talk about what was and was not working, targeted needs, and created a plan. we supported the integration and managed the transition. 
","improved transition workflow: 
reliable access during transition and continued support after transition. 
",,"data cleansing: airflow, talend 
bigdata: hadoop 
business intelligence: business intelligence experience using power bi, ssrs, qlikview, webfocus. cognos, brio. 
query and scripting: sql, python, power shell 
databases: sqlserver 2008- 2017, mysql, vertica, mongo 
",,,,,"migrating health and safety 
data for global agribusiness
"
,fully customizable database,,pdf-case study,cyber security,construction software solutions,"the client, a construction software solutions company, needed a third-party to test their existing system. they knew they had built plenty of security and defenses and needed someone to validate their testing.","in time tec essentially hacked their application in an effort to try to break or compromise it and share vulnerabilities with the client. we were able to bypass a lot of their existing defenses and showed them gaps for exploitations. we provided the client with a report of the vulnerabilities, showing which part of the code was vulnerable and suggested solutions. ",more security: found gaps where the application could be more secure validated what was working: proved that some of what they had done worked as it was supposed to.,,,,,,,
, saving ecommerce client money,,pdf-case study,devops,ecommerce,"our client has an ecommerce site that runs all of their retail business. before partnering with in time tec, the client was using another vendor; that vendor had full control, meaning if they ever disappeared, all the knowledge and access to the client's website infrastructure would disappear as well. ","with onshore and offshore resources, in time tec was able to learn the old system alongside the client's devops team, ensuring that if our engagement ended, they would have people on their team who would have the necessary information and knowledge. ","saves members and client time: 
no downtime during busy 2020 holiday season. 
increased work efficiency: moved cloud providers for cost savings and improved features. 
",,,,,,,
, automating production monitoring,,pdf-case study,data science,healthcare technology,a healthcare technology company was manually checking multiple dash- boards for multiple clients everyday to monitor their software system health. technologists were spending three to four hours a day monitoring all the dashboards and creating tickets to address issues.,in time tec created a team of onshore developers to work with the company's existing team and decrease the manual production monitoring. our team created an api call from app insights through azure into a python script; the analysis is run in python and flagged when there is an issue; a jira ticket is then created for the issue. ,"by working with in time tec, this company was able to decrease time spent on manual monitoring and ticketing, getting back at least 15 hours of working time a week. 
",,"languages: 
python, sql, r, scala 
software: 
data bricks, spark, delta lake, ml flow, aws rds, aws redshift, azure synapse, mongo db 
data analysis/manipulation numpy, pandas, scipy, statsmodels 
ml tools: 
xgboost, scikit learn, tensorflow, keras, pytorch, prophet",,,,,
, saving ecommerce client money,,pdf-case study,mobile app development,education,"our client, a non-profit association that administers learning certificates and courses, had a manual honor-based system for tracking continuing education courses. members would attend an event to get credits, get a piece of paper that would show the credits, and then manually enter credits in the non-profits existing system. many people were forgetting to log or logging incorrect data and there was too much room for inaccuracies. ","in time tec built a mobile application that brought the whole system online. the app allows members to register, check in, and track events they attend for continuing education credits. instead of remembering to manually track credits, members now just scan a qr code when they arrive at an event and their attendance is tracked for credit. 
","saves members and client time: 
more accuracy of continuing education credit tracking with less room for human error. easier and more efficient tracking. ",,,,,,,
, intensive run-through,,pdf-case study,quality assurance,insurance,"our client, an insurance company, had existing internal applications for employees. however, they had no quality assurance in their development and deployment process so the features were often breaking. the end-users were doing cursory quality checks but they were not experts nor did they know how to do detailed checks of every aspect of the application. ","in time tec came alongside the client and added onshore and offshore qa engineers to their existing teams. when the client's developers had finished coding, our engineers did an intense and thorough run-through of the application to ensure the expected results were produced. the in time tec team also worked to try to break the application to reveal any vulnerabilities. ","free up time: 
the end-users no longer have to do quality assurance checks. 
quality improvement: 
with more in-depth qa, quality of all applications has improved. 
",,,,,,,
, automated data validation,,pdf-case study,test automation,agribusiness,"our client, an agribusiness, was migrating from an old tech, data manager scheduler and sql stored procedures, to the new tech, control-m scheduler and microsoft ssis packages. they wanted to make sure that the new tool was operating the same way as the older tool. it was of the utmost importance that nothing was changed or lost in the migration. the way to ensure this was to run both tools and compare the data. the client knew it was a near impossible task for a human to compare the millions of rows of data. 
","in time tec built a custom tool to compare the data automatically. every week, we ran tests. they would pass or fail and we would offer solutions for the failed tests. ","we were able to alleviate the tediousness of someone manually comparing the data from one tool to another. we successfully moved them over to a new tool, caught defects early on, and automated it all along the way. 
",,,,,,,
,client portal,,pdf-case study,ux/ui,it,"our client, an information technology company, had begun offering devices as a service, or daas. they needed a portal for clients to manage the contracts, renewals, and requests for new equipment. initially, the technologists designed the tool from the client requests, which often meant that no one talked about ui design. this led to miscommunications about the look and feel of the portal and work was often redone. ",in time tec brought a ui designer onto the client's team. this person was responsible for mocking up the design of the tool before the developers even began to code. they worked directly with both the client and the developers to ensure everyone was on the same page for the vision of the portal,"on brand: 
the new portal was on brand for the client's other tools and marketing. 
more time efficiency: saved both the client & developers time by introducing a designer to mock up features before they were coded, instead of the client wanting changes after. created clarity: 
all people involved knew exactly what to expect with the look and feel of the portal. 
",,,,,,,
,,,core capabilities,details,services by industry,codes,,,,,,,,,
,,,web development,"1. architecture
2. backend development
3. frontend development
4. ui/ux design","1. public sector
2. education
3. helathcare
4. printing
5. b2c","naics:
1. 541511- custom computer programming services
2. 511210- software publishers
3. 541512- computer software consulting services
4. 541519- other computer related services
5. 541513- computer facilities management
duns:
016023720",,,,,,,,,
,,,app development,"1. native/hybrid
2. ui/ux design",,,,,,,,,,,
,,,data,"1. data engineering
2. data science
2. visual reporting",,,,,,,,,,,
,,,qa test automation,"1. qa architecture
2. test plan development
3. web, desktop, mobile testing
4. cross-browser automated testing
5. performance and scalability testing",,,,,,,,,,,
,,,devops,"1. continuous high-quality development
2. seamless releases and launches",,,,,,,,,,,
,,,cybersecurity,"1. penetration testing
2. vulnerability analysis
3. security hardening and monitoring
4. devsecops pipeline setup",,,,,,,,,,,
,simplot sharepoint forms,simplot,project,,logistics​,"simplot had their logistics solutions developed in sharepoint 2013 which eventually needed to digitalize and that’s where the phase 1 started, itt is migrating the existing sharepoint 2013 application to microsoft power platform.","​ itt proposed a microsoft power platform solution to migrate the existing sharepoint forms to canvas app, which enables users to have more usable experience.​

for reporting part powerbi tool being used which gives user more detailed report with good user experience. ​",a customized app to manage simplot's fixed assets details and approval process along with few other apps with a more user-friendly reporting feature.,,power bi,,,,kuldeep,sharepoint 2013 to microsoft power platform
,"automated process for quick customer onboarding ​
",truckstop,project,salesforce,transport,"truckstop provides services for logistics and transportation, carriers , brokers and shippers uses their application. to onboard new clients, sales team has to preform different security checks which is time consuming process. ​","
worked on implementation for automation where process collects data from different sources and perform security check automatically (we used apex and lwc , batch processing, we have consumed few external apis to validate the authorised customer this data we get from open-source apis by us government. created uis for user interactions)​","quick onboarding of customers. earlier it was a manual process which was time taking. automation helped in make the process faster and reducing scope for human errors.​

sales team has access to all data required in salesforce itself no need to login and manually verify details",,,,,,gnanraj,
,idaho stars,,,,,"idahostars is the leading expert and resource  for quality child care in idaho. they empower  parents and early childhood professionals to  make safe, healthy, nurturing, and educational  child care a top priority. they support child  
care professionals to continually improve early  care and education practices
challenge : idahostars used to rely on paper-based  systems to complete coaching, training,  licensing, and record keeping. this resulted in  a slow turn-around time–ranging from weeks  to months–for child care providers to get  licensed. the way the data was stored also  contributed to lengthy turnaround times.  having five disconnected databases meant  that an update in one resulted in a manual  update in the remaining four. permission  restrictions were a blocker as well. only  select users could access the data, creating  bottlenecks in the workflows and to top it all  off, the software idahostars had been using  for years was soon to be obsolete.","in time tec created rise, a web application  (integrated with ux/ui best practices) that  was easier to access, easier to use, more  intuitive, and more reliable. rise consolidates  the data in one place for robust, dynamic  reporting that is consistent for every process.  it also gives customers access and control of  their own data. we focused on optimizing the  workflow so idahostars could provide the  value, training, and advice they were looking  to provide in order to improve the education  experience for young kids. 
","created a web development team for  idahostars so we can support them to  roll out new features. 
provided a five-person offshore team to  work closely with idahostars. 
rise has processed, approved, and paid  trainers for 800+ scholarships within the  first year. 
minimized turn-around time by 4-6 weeks for child care provider licensing and  
incentives. 
gave providers control over their personal administrative tasks freeing up rise coaches  to focus on coaching instead of processes. idahostars is no longer the gatekeeper of  the provider’s information. 
planning to create a mobile-friendly 
application of rise giving access to  
providers in the palm of their hands. 
",,,,,,,
,transparent idaho,,,,,"the idaho legislature passed a bill that required local government financial data be available  on the state controller’s transparent idaho  website. the state controller’s office 
(sco) faced three significant challenges with  implementing this bill, in addition to a very  short deadline for completion. a large volume  of data from over 1,300 state entities had to be  imported and organized. the second challenge  - creating a website where the information  was easily accessed and clearly understood  by idaho citizens. the third challenge - sco’s  technical teams were already focused on other  important projects and could not develop the  website within the required time frames. they  needed to find a partner with the expertise to create the solution, augment their team, and drive the project to completion. 
","in time tec’s technical teams partnered with  sco on this project. our ux/ui design team  conducted field studies, focus groups, and  additional user research to ensure that the  website was intuitive and full-featured. in time  tec’s data engineering and analytics team  modeled the large volume of data from idaho's  1300 local entities to create easy-to-understand  visuals and reports that meet the requirements  of the local transparency initiative. our web  development team used the design and data  analytic features to create a user-friendly, fully  responsive website which provides detailed  financial information and promotes trust  in government. the idaho state controller’s  challenges were addressed, the state achieved  its goal of providing transparent financial  reporting, and in time tec successfully  partnered with sco to complete the project on  time and on budget. 
","engineered user interface to access over 1,300  local government entities’ unique data with an  interactive, visually engaging, web-based platform 
public access through mobile responsiveness on  any device 
powerful research tool and interactive reports  generated from disparate data to build trust with  citizens of idaho 
",,,,,,,
